"","stand_core_depth_treat","germination_n_per_tray","stand","site","soilcore","depth_name","treatment","stand_core","stand_core_depth","nonnative_grass","native_shrub","subsample_g","seeds_per_g","seeds_per_g_log"
"94","ENH1_5_surface_oven",28,"enhanced","ENH1","5","surface","oven","ENH1_5","ENH1_5_surface",0.62601626,0.642276423,347,0.0806916426512968,-2.51712026977166
"95","ENH1_5_surface_ovenchar",33,"enhanced","ENH1","5","surface","ovenchar","ENH1_5","ENH1_5_surface",0.62601626,0.642276423,347,0.0951008645533141,-2.35281721848038
"96","ENH2_10_deep_charate",4,"enhanced","ENH2","10","deep","charate","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.0115273775216138,-4.46303041882697
"97","ENH2_10_deep_control",2,"enhanced","ENH2","10","deep","control","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.00576368876080692,-5.15617759938691
"98","ENH2_10_deep_oven",7,"enhanced","ENH2","10","deep","oven","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.0201729106628242,-3.90341463089155
"99","ENH2_10_deep_ovenchar",9,"enhanced","ENH2","10","deep","ovenchar","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.0259365994236311,-3.65210020261064
"100","ENH2_10_surface_charate",56,"enhanced","ENH2","10","surface","charate","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.161383285302594,-1.82397308921171
"101","ENH2_10_surface_control",82,"enhanced","ENH2","10","surface","control","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.236311239193084,-1.44260553268261
"102","ENH2_10_surface_oven",103,"enhanced","ENH2","10","surface","oven","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.296829971181556,-1.21459579171722
"103","ENH2_10_surface_ovenchar",117,"enhanced","ENH2","10","surface","ovenchar","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.337175792507205,-1.0871508451491
"104","ENH2_6_deep_charate",1,"enhanced","ENH2","6","deep","charate","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.00288184438040346,-5.84932477994686
"105","ENH2_6_deep_control",5,"enhanced","ENH2","6","deep","control","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.0144092219020173,-4.23988686751276
"106","ENH2_6_deep_oven",4,"enhanced","ENH2","6","deep","oven","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.0115273775216138,-4.46303041882697
"107","ENH2_6_deep_ovenchar",3,"enhanced","ENH2","6","deep","ovenchar","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.00864553314121038,-4.75071249127875
"108","ENH2_6_surface_charate",20,"enhanced","ENH2","6","surface","charate","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.0576368876080692,-2.85359250639287
"109","ENH2_6_surface_control",25,"enhanced","ENH2","6","surface","control","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.0720461095100865,-2.63044895507866
"110","ENH2_6_surface_oven",31,"enhanced","ENH2","6","surface","oven","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.0893371757925072,-2.41533757546171
"111","ENH2_6_surface_ovenchar",37,"enhanced","ENH2","6","surface","ovenchar","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.106628242074928,-2.23840686730263
"112","ENH2_7_deep_charate",2,"enhanced","ENH2","7","deep","charate","ENH2_7","ENH2_7_deep",0.845528455,0.390243902,347,0.00576368876080692,-5.15617759938691
"113","ENH2_7_deep_control",10,"enhanced","ENH2","7","deep","control","ENH2_7","ENH2_7_deep",0.845528455,0.390243902,347,0.0288184438040346,-3.54673968695281
"114","ENH2_7_deep_oven",11,"enhanced","ENH2","7","deep","oven","ENH2_7","ENH2_7_deep",0.845528455,0.390243902,347,0.031700288184438,-3.45142950714849
"115","ENH2_7_deep_ovenchar",10,"enhanced","ENH2","7","deep","ovenchar","ENH2_7","ENH2_7_deep",0.845528455,0.390243902,347,0.0288184438040346,-3.54673968695281
"116","ENH2_7_surface_charate",144,"enhanced","ENH2","7","surface","charate","ENH2_7","ENH2_7_surface",0.845528455,0.390243902,347,0.414985590778098,-0.879511480370859
"117","ENH2_7_surface_control",137,"enhanced","ENH2","7","surface","control","ENH2_7","ENH2_7_surface",0.845528455,0.390243902,347,0.394812680115274,-0.929343854118734
"118","ENH2_7_surface_oven",140,"enhanced","ENH2","7","surface","oven","ENH2_7","ENH2_7_surface",0.845528455,0.390243902,347,0.403458213256484,-0.907682357337555
"119","ENH2_7_surface_ovenchar",126,"enhanced","ENH2","7","surface","ovenchar","ENH2_7","ENH2_7_surface",0.845528455,0.390243902,347,0.363112391930836,-1.01304287299538
"120","ENH2_8_deep_charate",3,"enhanced","ENH2","8","deep","charate","ENH2_8","ENH2_8_deep",0.845528455,0.390243902,347,0.00864553314121038,-4.75071249127875
"121","ENH2_8_deep_control",1,"enhanced","ENH2","8","deep","control","ENH2_8","ENH2_8_deep",0.845528455,0.390243902,347,0.00288184438040346,-5.84932477994686
"122","ENH2_8_deep_oven",10,"enhanced","ENH2","8","deep","oven","ENH2_8","ENH2_8_deep",0.845528455,0.390243902,347,0.0288184438040346,-3.54673968695281
"123","ENH2_8_deep_ovenchar",3,"enhanced","ENH2","8","deep","ovenchar","ENH2_8","ENH2_8_deep",0.845528455,0.390243902,347,0.00864553314121038,-4.75071249127875
"124","ENH2_8_surface_oven",17,"enhanced","ENH2","8","surface","oven","ENH2_8","ENH2_8_surface",0.845528455,0.390243902,320,0.053125,-2.93510765173756
"125","ENH2_8_surface_ovenchar",6,"enhanced","ENH2","8","surface","ovenchar","ENH2_8","ENH2_8_surface",0.845528455,0.390243902,320,0.01875,-3.97656152656572
"126","ENH2_9_deep_charate",10,"enhanced","ENH2","9","deep","charate","ENH2_9","ENH2_9_deep",0.845528455,0.390243902,347,0.0288184438040346,-3.54673968695281
"127","ENH2_9_deep_control",7,"enhanced","ENH2","9","deep","control","ENH2_9","ENH2_9_deep",0.845528455,0.390243902,347,0.0201729106628242,-3.90341463089155
"128","ENH2_9_deep_oven",6,"enhanced","ENH2","9","deep","oven","ENH2_9","ENH2_9_deep",0.845528455,0.390243902,347,0.0172910662824208,-4.0575653107188
"129","ENH2_9_deep_ovenchar",6,"enhanced","ENH2","9","deep","ovenchar","ENH2_9","ENH2_9_deep",0.845528455,0.390243902,347,0.0172910662824208,-4.0575653107188
"130","ENH2_9_surface_charate",86,"enhanced","ENH2","9","surface","charate","ENH2_9","ENH2_9_surface",0.845528455,0.390243902,347,0.247838616714697,-1.39497748369335
"131","ENH2_9_surface_control",181,"enhanced","ENH2","9","surface","control","ENH2_9","ENH2_9_surface",0.845528455,0.390243902,347,0.521613832853026,-0.650827748681033
"132","ENH2_9_surface_oven",155,"enhanced","ENH2","9","surface","oven","ENH2_9","ENH2_9_surface",0.845528455,0.390243902,347,0.446685878962536,-0.805899663027613
"133","ENH2_9_surface_ovenchar",117,"enhanced","ENH2","9","surface","ovenchar","ENH2_9","ENH2_9_surface",0.845528455,0.390243902,347,0.337175792507205,-1.0871508451491
"134","INT1_1_deep_charate",6,"intact","INT1","1","deep","charate","INT1_1","INT1_1_deep",0.243902439,0.707317073,371.875,0.0161344537815126,-4.12679830707184
"135","INT1_1_deep_control",1,"intact","INT1","1","deep","control","INT1_1","INT1_1_deep",0.243902439,0.707317073,371.875,0.0026890756302521,-5.9185577762999
"136","INT1_1_deep_oven",5,"intact","INT1","1","deep","oven","INT1_1","INT1_1_deep",0.243902439,0.707317073,371.875,0.0134453781512605,-4.30911986386579
"137","INT1_1_deep_ovenchar",6,"intact","INT1","1","deep","ovenchar","INT1_1","INT1_1_deep",0.243902439,0.707317073,371.875,0.0161344537815126,-4.12679830707184
"138","INT1_1_surface_charate",12,"intact","INT1","1","surface","charate","INT1_1","INT1_1_surface",0.243902439,0.707317073,164.0625,0.0731428571428571,-2.61534080299794
"139","INT1_1_surface_control",9,"intact","INT1","1","surface","control","INT1_1","INT1_1_surface",0.243902439,0.707317073,164.0625,0.0548571428571429,-2.90302287544972
"140","INT1_1_surface_oven",14,"intact","INT1","1","surface","oven","INT1_1","INT1_1_surface",0.243902439,0.707317073,164.0625,0.0853333333333333,-2.46119012317068
